"Gene","GO"
"YBL099W","GO:0005524"
"YBL099W","GO:1902600"
"YBL099W","GO:0005739"
"YBL099W","GO:0005743"
"YBL099W","GO:0005753"
"YBL099W","GO:0005754"
"YBL099W","GO:0005758"
"YBL099W","GO:0005829"
"YBL099W","GO:0006754"
"YBL106C","GO:0003674"
"YBL106C","GO:0017157"
"YBL106C","GO:0019905"
"YBL106C","GO:0030010"
"YBL106C","GO:0045159"
"YBL106C","GO:0050708"
"YBL106C","GO:0110165"
"YBL106C","GO:0005096"
"YBL106C","GO:0005515"
"YBL106C","GO:0005737"
"YBL106C","GO:0005886"
"YBL106C","GO:0005935"
"YBL106C","GO:0006887"
