orth_group,num,B,X0.5,X1,X1.5,X2,X3,X4,X6,X8
76,1,0.102917894,0.089206685,0.112707752,0.106989362,0.091123845,0.088495385,0.094342627,0.107635882,0.128169712
76,2,0.118610082,0.119915175,0.079048822,0.064001653,0.066744737,0.065245211,0.073944007,0.071355854,0.068965252
76,3,0.126133989,0.160537714,0.113387745,0.078112931,0.069869032,0.078970752,0.091921224,0.094452098,0.095997459
77,1,0.165085577,0.047190248,0.053249346,0.065284756,0.069983012,0.075592475,0.080987837,0.081484649,0.07874212
77,2,0.035294103,0.04769015,0.035512175,0.037765341,0.046775582,0.065864561,0.082978733,0.085144758,0.07993145
77,3,0.068859269,0.04780476,0.091378416,0.087706821,0.084722126,0.083204632,0.086390097,0.08870223,0.083847966
78,1,0.041304842,0.052879048,0.070094445,0.04760955,0.041102797,0.047282919,0.049013081,0.043173346,0.038875604
78,2,0.06090301,0.11246113,0.056109862,0.040887883,0.041815133,0.046074989,0.047920075,0.059011389,0.062762021
79,1,0.027657894,0.035493568,0.035140397,0.032086746,0.02963434,0.032327726,0.032836154,0.036963398,0.041460215
79,2,0.072395927,0.10108567,0.08869005,0.095454224,0.093536907,0.098305749,0.12192961,0.11676573,0.123759711
79,3,0.044623842,0.119917913,0.029694176,0.034966364,0.065035302,0.080070506,0.079185323,0.078395618,0.086001577
80,1,1.42237187,2.138955501,1.351639341,1.482342961,1.516697371,2.129206069,2.473912817,2.473962138,2.079114629
80,2,0.841180394,0.963073992,3.444058636,4.388127942,4.499194101,3.740717929,2.852112142,2.247284715,1.78697992
80,3,3.12544865,3.514997814,5.049498417,5.226578553,3.776059732,2.455586898,2.37544619,2.385448411,2.134904816
80,4,3.499100978,5.03991925,7.384271784,7.842528588,7.669320018,6.019654789,5.332886615,5.375704151,5.174523108
81,1,0.031045938,0.019612791,0.065837401,0.070636226,0.071799515,0.070524325,0.078743349,0.067539251,0.068445981
81,2,0.064643856,0.054352272,0.090572621,0.086254911,0.097977535,0.122090318,0.129011615,0.121758638,0.146647517
82,1,0.024278842,0.024578683,0.026987165,0.026032366,0.03080681,0.028910582,0.032344673,0.033153416,0.031218127
82,2,0.040515588,0.034572435,0.030684115,0.019869144,0.023125687,0.035856624,0.039027541,0.040683565,0.030059313
82,3,0.037709151,0.040775027,0.042874262,0.051258871,0.054264514,0.052691783,0.053715957,0.048578182,0.039945007
83,1,0.063940338,0.039740415,0.066038216,0.079363156,0.082121494,0.083814205,0.088901815,0.092320033,0.09364316
83,2,0.097470557,0.084666563,0.115388859,0.120850166,0.134203663,0.145972426,0.169737627,0.159776279,0.164999967
83,3,0.098116204,0.051115938,0.107626176,0.108233264,0.113057252,0.121968088,0.129143365,0.125369427,0.121396358
84,1,0.101778603,0.323267356,0.178842283,0.14974089,0.193018208,0.334272813,0.323440264,0.343026564,0.318445511
84,2,0.176402503,0.134605557,0.342742384,0.323742252,0.314031787,0.281407538,0.252607236,0.213891082,0.207587902
84,3,0.161615892,0.043836848,0.138752923,0.164086941,0.176014444,0.187180446,0.188961561,0.172363508,0.177324625
84,4,0.13702626,0.053845926,0.075898438,0.070079924,0.054162771,0.046604773,0.049766755,0.051129453,0.047553915
86,1,0.095310473,0.096450875,0.110203453,0.105906144,0.098652709,0.089441718,0.098738993,0.102659512,0.111892318
86,2,0.102522613,0.124846472,0.151810505,0.185594952,0.194025949,0.186338781,0.199467799,0.202000215,0.20862763
86,3,0.113893725,0.077101671,0.161642108,0.146782612,0.119680991,0.122158918,0.12570782,0.114921301,0.121334911
86,4,0.120930216,0.104205097,0.116986574,0.140929776,0.142267301,0.153873115,0.159232027,0.143628306,0.140951456
87,1,0.28596185,0.442038296,0.276998947,0.272513018,0.262013626,0.334285254,0.386632333,0.403289029,0.360328658
87,2,0.22971152,0.243529538,0.240265497,0.294898556,0.284707593,0.260253439,0.297004384,0.293970253,0.325323227
87,3,0.029450592,0.028476957,0.017471722,0.023491044,0.033586088,0.043315221,0.05901696,0.059275666,0.051731014
87,4,0.158480262,0.544284546,0.237669725,0.117806736,0.069114912,0.081778836,0.102594093,0.142379744,0.164608367
88,1,0.186115983,0.178693375,0.170936375,0.188854538,0.144424731,0.122635041,0.111635649,0.119010118,0.1367309
88,2,0.387543164,0.342137184,0.528033655,0.369429766,0.303027571,0.239913448,0.249087049,0.242580316,0.214596488
88,3,0.205302323,0.083563859,0.635200027,0.583323463,0.376760805,0.366777101,0.375119089,0.411895208,0.429281821
88,4,0.008789658,0.005573091,0.004633111,0.009935279,0.016720145,0.014836495,0.014286038,0.012321279,0.019508875
89,1,0.241019439,0.219035821,0.210052606,0.217077335,0.259648997,0.31028813,0.318510773,0.315418217,0.349650494
89,2,0.149766514,0.133672079,0.197417395,0.221361644,0.221513287,0.230425269,0.259139792,0.25482358,0.241299288
89,3,0.096331444,0.096530404,0.151230901,0.146104279,0.119734537,0.097884057,0.092049337,0.084162573,0.084106407
90,1,0.469218225,0.333889511,0.156889316,0.083300024,0.063291074,0.086421976,0.119529332,0.135362596,0.114600405
91,1,0.306905689,0.162796719,0.199139563,0.24895383,0.195520904,0.167730678,0.171843867,0.154402163,0.149735732
92,1,0.334119743,0.577462642,0.409332402,0.300709533,0.226759446,0.292625235,0.280864883,0.283512973,0.270689875
92,2,0.348949035,0.467739974,0.094862918,0.076578576,0.103434511,0.171565275,0.206213554,0.201068468,0.187248999
92,3,0.368864867,0.594811709,0.352148133,0.301736367,0.31287469,0.334362238,0.341183666,0.359153087,0.366099841
93,1,0.686110935,0.602130045,0.736653309,0.626332005,0.587129288,0.468588099,0.439118605,0.344370025,0.350416072
93,2,0.494813,0.481397389,0.21459022,0.165145769,0.186734541,0.248336897,0.233175564,0.207774075,0.176853444
93,3,0.731258953,0.901354064,0.866127327,0.754058808,0.75331551,0.720254441,0.665319463,0.626830992,0.589114517
93,4,0.384596276,1.036985492,0.760829232,0.514880178,0.359952637,0.311841802,0.309550071,0.293142601,0.310903305
94,1,0.755790607,0.059578066,0.134639229,0.257594664,0.405123081,0.559782432,0.499058397,0.443259118,0.391815774
94,2,0.28932294,0.157996754,0.111278407,0.116863328,0.104344316,0.129861264,0.150301005,0.137293834,0.119177673
94,3,1.111462555,0.205907181,0.487440672,0.589841962,0.582865724,0.544431829,0.529598833,0.518054399,0.507052667
